date,value
2022-01-01,592277
2022-01-03,592280
2022-01-04,592281
2022-01-05,592309
2022-01-06,592341
2022-01-07,592357
2022-01-09,592358
2022-01-10,592377
2022-01-11,592415
2022-01-12,592465
2022-01-13,592563
2022-01-14,592670
2022-01-15,592671
2022-01-17,592857
2022-01-18,592899
2022-01-19,592936
2022-01-20,592983
2022-01-21,593115
2022-01-22,593116
2022-01-24,593241
2022-01-25,593302
2022-01-26,593406
2022-01-27,593470
2022-01-28,593605
2022-01-31,593724
2022-02-01,593867
2022-02-02,593993
2022-02-03,594205
2022-02-04,594309
2022-02-07,594473
2022-02-08,594520
2022-02-09,594586
2022-02-10,594693
2022-02-11,594778
2022-02-12,594791
2022-02-14,594890
2022-02-15,594973
2022-02-16,595044
2022-02-17,595088
2022-02-18,595109
2022-02-21,595153
2022-02-22,595290
2022-02-23,595348
2022-02-24,595424
2022-02-25,595437
2022-02-27,595455
2022-02-28,595542
2022-03-01,595577
2022-03-02,595626
2022-03-03,595690
2022-03-04,595704
2022-03-07,595759
2022-03-08,595776
2022-03-09,595933
2022-03-10,596037
2022-03-11,596059
2022-03-14,596104
2022-03-15,596329
2022-03-16,596465
2022-03-17,596604
2022-03-18,596642
2022-03-21,596708
2022-03-22,596804
2022-03-23,597000
2022-03-24,597034
2022-03-25,597069
2022-03-28,597108
2022-03-29,597164
2022-03-30,597200
2022-03-31,597245
2022-04-01,597277
2022-04-02,597278
2022-04-04,597329
2022-04-05,597394
2022-04-06,597470
2022-04-07,597511
2022-04-08,597532
2022-04-09,597534
2022-04-11,597611
2022-04-12,597668
2022-04-13,597769
2022-04-14,597799
2022-04-15,597812
2022-04-16,597813
2022-04-18,597816
2022-04-19,597880
2022-04-20,597946
2022-04-21,598041
2022-04-22,598092
2022-04-23,598099
2022-04-24,598101
2022-04-25,598151
2022-04-26,598195
2022-04-27,598335
2022-04-28,598466
2022-04-29,598539
2022-04-30,598542
2022-05-01,598550
2022-05-02,598714
2022-05-03,598920
2022-05-04,599076
2022-05-05,599289
2022-05-06,599414
2022-05-07,599444
2022-05-08,599448
2022-05-09,599555
2022-05-10,599656
2022-05-11,600034
2022-05-12,600194
2022-05-13,600311
2022-05-14,600328
2022-05-15,600471
2022-05-16,600608
2022-05-17,600779
2022-05-18,600926
2022-05-19,601130
2022-05-20,601307
2022-05-21,601313
2022-05-22,601322
2022-05-24,601550
2022-05-25,601746
2022-05-26,601973
2022-05-27,602109
2022-05-28,602132
2022-05-29,602138
2022-05-30,602415
2022-05-31,602735
2022-06-01,603112
2022-06-02,603300
2022-06-03,603704
2022-06-04,603727
2022-06-05,603740
2022-06-06,603993
2022-06-07,604392
2022-06-08,604709
2022-06-09,604968
2022-06-10,605105
2022-06-11,605115
2022-06-12,605126
2022-06-13,605263
2022-06-14,605370
2022-06-15,605560
2022-06-16,605698
2022-06-17,605798
2022-06-18,605801
2022-06-20,605885
2022-06-21,606136
2022-06-22,606388
2022-06-23,606733
2022-06-24,606736
2022-06-27,606851
2022-06-28,607072
2022-06-29,607169
2022-06-30,607386
2022-07-01,607832
2022-07-03,607833
2022-07-04,607970
2022-07-05,608322
2022-07-06,608509
2022-07-07,608814
2022-07-08,608884
2022-07-11,609141
2022-07-12,609587
2022-07-13,609756
2022-07-14,609971
2022-07-15,610159
2022-07-16,610160
2022-07-18,610472
2022-07-19,610615
2022-07-20,610827
2022-07-21,610970
2022-07-22,611109
2022-07-23,611110
2022-07-25,611281
2022-07-26,611763
2022-07-27,612155
2022-07-28,612471
2022-07-29,613027
2022-08-01,613245
2022-08-02,613548
2022-08-03,613961
2022-08-04,614152
2022-08-05,614380
2022-08-06,614455
2022-08-07,614556
2022-08-08,614900
2022-08-09,615026
2022-08-10,615265
2022-08-11,615352
2022-08-12,615484
2022-08-15,616597
2022-08-16,616768
2022-08-17,616929
2022-08-18,617105
2022-08-19,617455
2022-08-20,617456
2022-08-21,617458
2022-08-22,617656
2022-08-23,617770
2022-08-24,617858
2022-08-25,617973
2022-08-26,618030
2022-08-28,618032
2022-08-29,618087
2022-08-30,618147
2022-08-31,618493
2022-09-01,618882
2022-09-02,619092
2022-09-03,619093
2022-09-06,619246
2022-09-07,619394
2022-09-08,619478
2022-09-09,619581
2022-09-10,619590
2022-09-11,619593
2022-09-12,619713
2022-09-13,619920
2022-09-14,620049
2022-09-15,620199
2022-09-16,620312
2022-09-17,620325
2022-09-18,620333
2022-09-19,620719
2022-09-20,621102
2022-09-21,621278
2022-09-22,621396
2022-09-23,621496
2022-09-24,621520
2022-09-25,621531
2022-09-26,621683
2022-09-27,622016
2022-09-28,622200
2022-09-29,622397
2022-09-30,622566
2022-10-01,622601
2022-10-02,622610
2022-10-03,622814
2022-10-04,623011
2022-10-05,623263
2022-10-06,623365
2022-10-07,623465
2022-10-08,623478
2022-10-09,623484
2022-10-10,623493
2022-10-11,623621
2022-10-12,623767
2022-10-13,623868
2022-10-14,623985
2022-10-15,624007
2022-10-16,624025
2022-10-17,624250
2022-10-18,624545
2022-10-19,624850
2022-10-20,625121
2022-10-21,625326
2022-10-22,625360
2022-10-23,625369
2022-10-24,625714
2022-10-25,626028
2022-10-26,626426
2022-10-27,626706
2022-10-28,626838
2022-10-29,626865
2022-10-30,626879
2022-10-31,627176
2022-11-01,627294
2022-11-02,627497
2022-11-03,627913
2022-11-04,627969
2022-11-05,627975
2022-11-06,627984
2022-11-07,628062
2022-11-08,628145
2022-11-09,628306
2022-11-10,628419
2022-11-11,628484
2022-11-12,628493
2022-11-14,628670
2022-11-15,628876
2022-11-16,629003
2022-11-17,629166
2022-11-18,629252
2022-11-21,629391
2022-11-22,629469
2022-11-23,629636
2022-11-24,629730
2022-11-25,629762
2022-11-27,629763
2022-11-28,629869
2022-11-29,629978
2022-11-30,630007
2022-12-01,630201
2022-12-02,630472
2022-12-05,630659
2022-12-06,630898
2022-12-07,631051
2022-12-08,631132
2022-12-09,631283
2022-12-12,631362
2022-12-13,631419
2022-12-14,631484
2022-12-15,631629
2022-12-16,631644
2022-12-19,631811
2022-12-20,632092
2022-12-21,632232
2022-12-22,632268
2023-01-01,632273
2023-01-04,632406
2023-01-05,632595
2023-01-06,632707
2023-01-09,633080
2023-01-10,633295
2023-01-11,633478
2023-01-12,633573
2023-01-13,633613
2023-01-16,633652
2023-01-17,633965
2023-01-18,634395
2023-01-19,634451
2023-01-20,634520
2023-01-21,634528
2023-01-22,634535
2023-01-23,634638
2023-01-24,634709
2023-01-25,634761
2023-01-26,634924
2023-01-27,634936
2023-01-30,635000
2023-01-31,635030
2023-02-01,635076
2023-02-02,635110
2023-02-03,635204
2023-02-04,635209
2023-02-05,635212
2023-02-06,635241
2023-02-07,635370
2023-02-08,635443
2023-02-09,635526
2023-02-10,635603
2023-02-11,635604
2023-02-13,635679
2023-02-14,635710
2023-02-15,635764
2023-02-16,635790
2023-02-17,635841
2023-02-20,635883
2023-02-21,635903
2023-02-22,635956
2023-02-23,636003
2023-02-24,636025
2023-02-27,636630
2023-02-28,636718
2023-03-01,636786
2023-03-02,636891
2023-03-03,636905
2023-03-04,636906
2023-03-06,637014
2023-03-07,637366
2023-03-08,637441
2023-03-09,637520
2023-03-10,637640
2023-03-13,637829
2023-03-14,638091
2023-03-15,638175
2023-03-16,638244
2023-03-17,638337
2023-03-18,638349
2023-03-19,638361
2023-03-20,638496
2023-03-21,638716
2023-03-22,638792
2023-03-23,638844
2023-03-24,638980
2023-03-27,639127
2023-03-28,639237
2023-03-29,639366
2023-03-30,639519
2023-03-31,639680
2023-04-01,639681
2023-04-02,639682
2023-04-03,639851
2023-04-04,639953
2023-04-05,640007
2023-04-06,640013
2023-04-08,640018
2023-04-10,640019
2023-04-11,640024
2023-04-12,640093
2023-04-13,640114
2023-04-14,640123
2023-04-15,640128
2023-04-16,640132
2023-04-17,640140
2023-04-18,640204
2023-04-19,640212
2023-04-20,640364
2023-04-21,640366
2023-04-24,640421
2023-04-25,640443
2023-04-26,640524
2023-04-27,640584
2023-04-28,640638
2023-05-01,640719
2023-05-02,640872
2023-05-03,641006
2023-05-04,641161
2023-05-05,641256
2023-05-06,641265
2023-05-07,641273
2023-05-08,641410
2023-05-09,641565
2023-05-10,641839
2023-05-11,642020
2023-05-12,642073
2023-05-13,642078
2023-05-14,642084
2023-05-15,642192
2023-05-16,642273
2023-05-17,642396
2023-05-18,642510
2023-05-19,642685
2023-05-20,642698
2023-05-21,642719
2023-05-22,642739
2023-05-23,642924
2023-05-24,643164
2023-05-25,643303
2023-05-26,643662
2023-05-27,643691
2023-05-28,643692
2023-05-29,644126
2023-05-30,644588
2023-05-31,644990
2023-06-01,645435
2023-06-02,645634
2023-06-03,645670
2023-06-04,645675
2023-06-05,646135
2023-06-06,646714
2023-06-07,647253
2023-06-08,647788
2023-06-09,648178
2023-06-10,648185
2023-06-11,648197
2023-06-12,648607
2023-06-13,649403
2023-06-14,649719
2023-06-15,650368
2023-06-16,650782
2023-06-17,650783
2023-06-18,650787
2023-06-19,651010
2023-06-20,651218
2023-06-21,651416
2023-06-22,652081
2023-06-23,652271
2023-06-25,652286
2023-06-26,652300
2023-06-27,652557
2023-06-28,652912
2023-06-29,653354
2023-06-30,653677
2023-07-01,660598
2023-07-03,660602
2023-07-04,660795
2023-07-05,661056
2023-07-06,661420
2023-07-07,661587
2023-07-08,661588
2023-07-10,661755
2023-07-11,662030
2023-07-12,662480
2023-07-13,662962
2023-07-14,663113
2023-07-17,663486
2023-07-18,663654
2023-07-19,664151
2023-07-20,664456
2023-07-21,664542
2023-07-22,664543
2023-07-24,664950
2023-07-25,665451
2023-07-26,665942
2023-07-27,666585
2023-07-28,666943
2023-07-31,667336
2023-08-01,667795
2023-08-02,668151
2023-08-03,668648
2023-08-04,669114
2023-08-05,669115
2023-08-07,669470
2023-08-08,670125
2023-08-09,670435
2023-08-10,670870
2023-08-11,671348
2023-08-12,671349
2023-08-13,671351
2023-08-14,671946
2023-08-15,672401
2023-08-16,672712
2023-08-17,672997
2023-08-18,673183
2023-08-20,673197
2023-08-21,673412
2023-08-22,673629
2023-08-23,673814
2023-08-24,674200
2023-08-25,674389
2023-08-26,674447
2023-08-28,674568
2023-08-29,674715
2023-08-30,674801
2023-08-31,675389
2023-09-01,675807
2023-09-02,675810
2023-09-04,675818
2023-09-05,675977
2023-09-06,676213
2023-09-07,676523
2023-09-08,676612
2023-09-09,676972
2023-09-11,677223
2023-09-12,677629
2023-09-13,678098
2023-09-14,678937
2023-09-15,679283
2023-09-16,679301
2023-09-17,679311
2023-09-18,680121
2023-09-19,680499
2023-09-20,680739
2023-09-21,681054
2023-09-22,681249
2023-09-23,681251
2023-09-24,681261
2023-09-25,681687
2023-09-26,682358
2023-09-27,682884
2023-09-28,683221
2023-09-29,683822
2023-09-30,683947
2023-10-01,685566
2023-10-02,686182
2023-10-03,686970
2023-10-04,687635
2023-10-05,688615
2023-10-06,689975
2023-10-07,689982
2023-10-08,689988
2023-10-09,689990
2023-10-10,691454
2023-10-11,692137
2023-10-12,692850
2023-10-13,693400
2023-10-14,693412
2023-10-15,693421
2023-10-16,693673
2023-10-17,693910
2023-10-18,694203
2023-10-19,694455
2023-10-20,694718
2023-10-21,694728
2023-10-22,694732
2023-10-23,695305
2023-10-24,695541
2023-10-25,695962
2023-10-26,696217
2023-10-27,696610
2023-10-28,696628
2023-10-29,696629
2023-10-30,696823
2023-10-31,696960
2023-11-01,697233
2023-11-02,697356
2023-11-03,697577
2023-11-06,697692
2023-11-07,698363
2023-11-08,698721
2023-11-09,699065
2023-11-10,699198
2023-11-13,699269
2023-11-14,699859
2023-11-15,700471
2023-11-16,701029
2023-11-17,701356
2023-11-18,701357
2023-11-20,701463
2023-11-21,701789
2023-11-22,702162
2023-11-23,702344
2023-11-24,702747
2023-11-25,702750
2023-11-27,703123
2023-11-28,703226
2023-11-29,703377
2023-11-30,703619
2023-12-01,703755
2023-12-04,703805
2023-12-05,703900
2023-12-06,703983
2023-12-07,704042
2023-12-08,704273
2023-12-09,704292
2023-12-10,704308
2023-12-11,704452
2023-12-12,704800
2023-12-13,705011
2023-12-14,705170
2023-12-15,705495
2023-12-17,705537
2023-12-18,705659
2023-12-19,705875
2023-12-20,706006
2023-12-21,706227
2023-12-23,706265
2023-12-29,706266
2023-12-31,706267
2024-01-01,706645
2024-01-02,706646
2024-01-03,706690
2024-01-04,706785
2024-01-05,707048
2024-01-07,707050
2024-01-08,707122
2024-01-09,707598
2024-01-10,708174
2024-01-11,708624
2024-01-12,708827
2024-01-13,708828
2024-01-15,708857
2024-01-16,709050
2024-01-17,709176
2024-01-18,709405
2024-01-19,709595
2024-01-22,709771
2024-01-23,709926
2024-01-24,710005
2024-01-25,710367
2024-01-26,710746
2024-01-29,710913
2024-01-30,711088
2024-01-31,711227
2024-02-01,711375
2024-02-02,711480
2024-02-03,711481
2024-02-04,711486
2024-02-05,711663
2024-02-06,711829
2024-02-07,711976
2024-02-08,712184
2024-02-09,712242
2024-02-11,712245
2024-02-12,712665
2024-02-13,712930
2024-02-14,713264
2024-02-15,713366
2024-02-16,713399
2024-02-17,713405
2024-02-18,713409
2024-02-19,713504
2024-02-20,713578
2024-02-21,713657
2024-02-22,713718
2024-02-23,713907
2024-02-24,713990
2024-02-25,714030
2024-02-26,714156
2024-02-27,714435
2024-02-28,714492
2024-02-29,714531
2024-03-01,714635
2024-03-02,714680
2024-03-03,714711
2024-03-04,714768
2024-03-05,714837
2024-03-06,714923
2024-03-07,714970
2024-03-08,715012
2024-03-09,715069
2024-03-11,715128
2024-03-12,715176
2024-03-13,715222
2024-03-14,715266
2024-03-15,715295
2024-03-18,715336
2024-03-19,715431
2024-03-20,715530
2024-03-21,715592
2024-03-22,715711
2024-03-23,715718
2024-03-25,715768
2024-03-26,715897
2024-03-27,715990
2024-03-28,716045
2024-03-29,716048
2024-03-30,716052
2024-04-01,716054
2024-04-02,716229
2024-04-03,716571
2024-04-04,716766
2024-04-05,717161
2024-04-08,717327
2024-04-09,717383
2024-04-10,717541
2024-04-11,717643
2024-04-12,717719
2024-04-13,717720
2024-04-14,717721
2024-04-15,717820
2024-04-16,717850
2024-04-17,717909
2024-04-18,717948
2024-04-19,718071
2024-04-22,718259
2024-04-23,718401
2024-04-24,718501
2024-04-25,718570
2024-04-26,718587
2024-04-27,718594
2024-04-28,718596
2024-04-29,718663
2024-04-30,718741
2024-05-01,718962
2024-05-02,719024
2024-05-03,719043
2024-05-04,719059
2024-05-05,719085
2024-05-06,719126
2024-05-07,719338
2024-05-08,719424
2024-05-09,719550
2024-05-10,719805
2024-05-11,719844
2024-05-12,719854
2024-05-13,719929
2024-05-14,720073
2024-05-15,720370
2024-05-16,720552
2024-05-17,720692
2024-05-18,720708
2024-05-19,720714
2024-05-20,720716
2024-05-21,720837
2024-05-22,721027
2024-05-23,721295
2024-05-24,721540
2024-05-25,721554
2024-05-26,721560
2024-05-27,722010
2024-05-28,722267
2024-05-29,722512
2024-05-30,722853
2024-05-31,723034
2024-06-01,723051
2024-06-02,723058
2024-06-03,723174
2024-06-04,723503
2024-06-05,723736
2024-06-06,723908
2024-06-07,724017
2024-06-08,724026
2024-06-09,724036
2024-06-10,724240
2024-06-11,724387
2024-06-12,724774
2024-06-13,725079
2024-06-14,725311
2024-06-15,725315
2024-06-16,725327
2024-06-17,725569
2024-06-18,725734
2024-06-19,725904
2024-06-20,726117
2024-06-21,726358
2024-06-22,726415
2024-06-24,726417
2024-06-25,726558
2024-06-26,726802
2024-06-27,727017
2024-06-28,727082
2024-06-29,727083
2024-06-30,727085
2024-07-01,727529
2024-07-02,727818
2024-07-03,727996
2024-07-04,728266
2024-07-05,728386
2024-07-06,728387
2024-07-07,728393
2024-07-08,728584
2024-07-09,728947
2024-07-10,729423
2024-07-11,729511
2024-07-12,729667
2024-07-14,729669
2024-07-15,729790
